|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
1229|Triss|I hope you don't regret it… that things have gone differently…|Geralt|Haha, not surprised. I'm pretty lovely this time of year, too.|Geralt|Well, they say Kovir's lovely this time of year… But I prefer you.|Cóż, Kovir jest ponoć piękny o tej porze roku... Ale jednak wolę ciebie.|No cóż, mówią, że Kovir jest teraz uroczy... Ale wolę ciebie.|No cóż, mówią, że Kovir jest teraz uroczy… Ale wolę ciebie.
1230|Cirilla Young|The best I could do. Besides, what do you have against Dandelion?|Cirilla|Don't go! Don't leave meeee!|Cirilla Young|Geraaalt!|Geraaalt!|Geralt!|Geralt!
1231|Novigrad Beggar 01|I bloody well told him not to stick his arse where it don't belong…|Novigrad Beggar 01|Eh…|Novigrad Beggar 02|Mug like that won't get you a copper. Gots to be elegant, like me.|Z taką gębą to ty na ulicy nie zarobisz. Trza być elegancki, jak ja.|Taki obszarpany nie dostanie nawet miedziaka. Trzeba być eleganckim, tak jak ja.|Taki kubek nie załatwi ci miedziaka. Musi być elegancki, jak ja.
1232|Geralt|So. Have you any proof?|Radovid|How curious. They claimed to have found it themselves. And to have saved your life when you became trapped.|Radovid|Crystal from her megascope. I gave it to your men.|Kryształ z jej megaskopu. Oddałem go twoim ludziom.|Kryształ z jej teleskopu. Oddałem go twoim ludziom.|Kryształ z jej megalornetki. Oddałem go waszym ludziom.
1233|Geralt|||||Trail breaks off. Need to find another clue nearby, something else to follow.|Trop się urwał. Trzeba poszukać innych śladów w pobliżu.|Ślad się urywa. Muszę znaleźć inny trop w pobliżu, coś innego do śledzenia.|Szlak się urywa. Trzeba znaleźć inny ślad w pobliżu, coś innego do śledzenia.
1234|Geralt|Ugh. Then speak.|Skellige Priestess 01|Only that she seemed tired. Very tired. And… and her hair was wet.|Skellige Old Woman 02|Remember anything else? Anything at all?|Zapamiętałaś coś więcej? Cokolwiek?|Czy pamiętasz coś jeszcze? Cokolwiek?|Czy pamiętasz coś jeszcze? Cokolwiek?
1235|Novigrad Thug Strong 12|Daaaaaa!|Novigrad Thug Strong 12|Hey!|Novigrad Thug Strong 12|You!|Te!|Ty!|Ty!
1236|Geralt|||||Deep, uneven tracks. Someone fled blindly, in a panic.|Ślady są głębokie, nierówne. Ktoś uciekał w panice, na oślep.|Głębokie, nierówne ślady. Ktoś uciekał na oślep, w panice.|Głębokie, nierówne ślady. Ktoś uciekał na oślep, w panice.
1237|Geralt|Last we met, Geralt thrashed me silly and crushed my ankle. I really wonder what he's got in store this time.|Dijkstra|What the fuck's he on about? Ploughin' fortuneteller.|Karl Varese|Got intruders. Someone just snuck inside the bathhouse. Several men…|Ktoś wszedł do łaźni. Skradają się... Jest ich kilku...|Mam intruzów. Ktoś właśnie zakradł się do łaźni. Kilku mężczyzn...|Mam intruzów. Ktoś właśnie zakradł się do łaźni. Kilku mężczyzn...
1238|Emhyr|I was, aye… D-do you really do it?|Temerian Peasant 02|Dance on your enemies' graves?|Temerian Peasant 02|Do what?|Co takiego?|Co robisz?|Co robić?
1239|Lambert|Spilled some wine… and crawled through it.|Geralt|If I'd a' bent over, I'd 'ave puked…|Geralt|Had to kneel down to see that?|Musiałeś klękać, żeby to zobaczyć?|Musiałeś uklęknąć, żeby to zobaczyć?|Musiałeś się schylić, żeby to zobaczyć?
1240|Novigrad Poor Man 03|All right, let's open it.|Geralt|Vampire. Probably regenerates here.|Geralt|Bloede glewynn!|Bloede glewynn!|Krew wilka!|Krew wilka!
1241|Geralt|My rate rises with every word you speak. I'm not sure you can afford the information anymore.|Keira Metz|Nature stinks.|Keira Metz|Hm, you're pricklier than I remembered. Isn't living in nature's lap supposed to be cleansing, calming…?|Jesteś jeszcze bardziej kłótliwa, niż cię zapamiętałem. A przecież kontakt z naturą powinien cię wyciszyć, uspokoić...|Hm, jesteś bardziej cierpka niż pamiętałem. Czy naprawdę życie w objęciach natury ma być oczyszczające i uspokajające...?|Hm, jesteś bardziej kolczasty niż pamiętałem. Czy życie na łonie natury nie ma być oczyszczające, uspokajające...?
1242|Philippa Eilhart|||||Found it!|Jest!|Znalazłam to!|Znalazłem to!
1243|Geralt|Yeah. Improvise.|Letho|You got involved when you came here. We'll get rid of them quicker together.|Letho|This is between you and them. Not my problem, rather not get involved.|To nie moja sprawa. Nie mam zamiaru mieszać się w wasze porachunki.|To jest między tobą a nimi. Nie mój problem, raczej nie chcę się w to mieszać.|To jest między tobą a nimi. Nie mój problem, raczej nie angażować się.
1244|Skellige Old Woman 03|Agh, shame about Gretter. He was a good man.|Skellige Villager 04|As for that whoreson, Yorg - chainin' 'im to the rocks… that was too light a punishment. Shoulda lashed his skin off.|Skellige Villager 04|Aye, and he didn't drink much.|Ta, i mało pił.|Tak, i on nie pił dużo.|Tak, i on nie pił dużo.
1245|Roche|Thank you for agreeing to do this, Geralt.|Roche|Nice to chat and all, Geralt, but don't you have a job to do?|Dijkstra|The sooner you finish, the better.|Im szybciej się z tym uwiniesz, tym lepiej.|Im szybciej skończysz, tym lepiej.|Im szybciej skończysz, tym lepiej.
1246|Geralt|In Nilfgaard, any soldier who is taken prisoner is as if dead.|Nilfgaardian Officer 01|Soon to be an imperial province. Before Saovine, I wager, the Great Sun will fly upon banners above Redania's capital.|Nilfgaardian Officer 01|Those prisoners were from Redania.|Ci jeńcy pochodzili z Redanii.|Ci jeńcy byli z Redanii.|Ci więźniowie byli z Redanii.
1247|Keira Metz|And I don't like surprises. Especially ones that sorceresses spring on me.|Geralt|You were gonna show me something…|Geralt|I daresay this one, once sprung, would thrill you… Ah well, change your mind - come and see me.|Ta akurat by ci się spodobała... No nic, wróć, jak zmienisz zdanie.|Może jednak zmienisz zdanie - przyjdź i zobacz mnie.|Śmiem twierdzić, że ten jeden, gdy już się rozpocznie, zachwyci cię... No cóż, zmień zdanie - przyjdź i zobacz mnie.
1248|Geralt|Besides, now we've got the sword, we'll soon see if that's what it's about.|Cerys|Let's go see Udalryk. Be interesting to see if there actually is a ghost in all this.|Geralt|Hmm, no harm in trying, I suppose.|Hmm, warto spróbować.|Nie zaszkodzi spróbować, przypuszczam.|Hmm, chyba nie zaszkodzi spróbować.
1249|Skellige Warrior 02|I'll watch ye die with pleasure…|Skellige Warrior 02|Aaaaah!|Skellige Warrior 02|Back off! I'll kill 'im!|Wara! Ja go zabije!|Cofnij się! Zabiję go!|Odpuść! Zabiję go!
1250|Geralt|Hm, never heard of that.|Novigrad Poor Woman 01|Hello, there! Welcome!|Novigrad Poor Woman 01|What'd the cook make today?|Co kucharz przygotował na dzisiaj?|Co dziś ugotował kucharz?|Co dziś ugotował kucharz?
1251|Novigrad Rich Man 20|You should not have come to the city. You'd be better off staying in the trees…|Novigrad Rich Man 20|Begone, or I'll inform the hunters you're a nonhuman.|Novigrad Rich Man 20|Don't stare, or I'll flog some manners into you.|Nie gap się, bo batem manier nauczę.|Nie gap się, bo nauczę cię manier batem.|Nie gap się, bo wbiję ci trochę manier.
1252|Geralt|A cavalcade of wraiths dashing across the night sky? These omens of war the peasantry babbles about? Expect me to believe that?|Voorhis|"Moving on. You then found shelter in charming Flotsam, and from there made your way to Vergen. My question is - ""how?"""|Voorhis|Frankly, I don't really give a damn.|Szczerze mówiąc... Mam to gdzieś.|Szczerze mówiąc, nie obchodzi mnie to za bardzo.|Szczerze mówiąc, nie obchodzi mnie to zbytnio.
1253|Dijkstra|How much was it all worth? Got an approximate idea?|Geralt|Know you too well for that… Just prefer to know what I'm looking for.|Geralt|Why the fuck do you care? Figuring your finder's fee? Don't get your hopes up.|A co? Chcesz wyliczyć, jakie dostaniesz znaleźne? Nie rób sobie nadziei.|Po cholerze ci to? Obliczasz swój udział w znaleźnym? Nie łudź się.|Dlaczego się tym przejmujesz? Liczysz swoją prowizję? Nie rób sobie nadziei.
1254|Skellige Fisherman 06|Oy oy!|Skellige Fisherman 06|Nooooo!|Skellige Fisherman 06|You tryin' to hurt yourself?|Chcesz sobie zrobić krzywdę?|Czy próbujesz sobie zrobić krzywdę?|Próbujesz zrobić sobie krzywdę?
1255|Novigrad Thug Strong 01|I beg to differ. Many a man's started out wanting to kill me, and ended up buying me a round.|Dandelion|Watch it. And leave the woman alone.|Geralt|Whoa! What the devil's this? Get outta my 'ouse!|Co to, u diabła, ma być? Wynoście się z mojego domu!|Co u diabła się dzieje? Wynoście się z mojego domu!|O rany! Co to za diabeł? Wynoś się z mojego domu!
1256|Geralt|So? Gonna talk?|Geralt|But… But I helped you… I help--|Redanian Noble 01|As good as lit the pyres with Menge in the square. He deserves to die.|Razem z Mengem ustawiał stosy na rynku. Za to należy się śmierć.|Tak samo dobrze jak podpalić stosy z Mengelem na placu. Zasługuje na śmierć.|Tak dobry jak rozpalić stosy z Mengem na placu. Zasługuje na śmierć.
1257|Zoltan Chivay|In the Pontar?|Dwarf Man 01|Ca-- Can't listen to this hogwash sober. Come in.|Dwarf Man 01|You betcha!|A tak!|Nie mogę słuchać tych bzdur na trzeźwo. Wejdź.|Jasne!
1258|Morkvarg Warewolf|||||Hrr frrree meee… hrrr I will go hrrrr…|Odczarrruj mnie... To odejdę...|Hrrr mruczę... hrrr pójdę...|Hrr frrree meee… hrrr Pójdę hrrrr…
1259|Geralt|Seems so long ago… Probably because so much has changed.|Triss|Partly. Though… more as a warning.|Triss|So, sentimental value… that why you kept it?|Czyli zatrzymałaś ją z sentymentu?|Więc, wartość sentymentalna... dlaczego je zatrzymałaś?|Więc wartość sentymentalna... dlaczego to zatrzymałeś?
1260|Verden Peasant 03|Anyone learns you carried plague victims in it, no one'll ever hire you again.|Geralt|… and you'll spread the pox for miles around.|Geralt|Why would they need to learn? I won't tell if you don't…|A muszą się od razu dowiadywać? Jeśli wy nikomu nie powiecie, ja sam też nie powiem...|Dlaczego mieliby się dowiedzieć? Nie powiem, jeśli ty nie...|Dlaczego mieliby się uczyć? Nie powiem, jeśli ty też nie...
1261|Verden Scavenger 03|Gathered and gathered and then let loose.|Verden Scavenger 03|Mhm.|Verden Scavenger 03|Well? Whaddaya want?|No co? Czego tu szukasz?|No więc? Czego chcesz?|No więc? Czego chcesz?
1262|Skellige Guard 01|Keep together!|Skellige Guard 01|Spellcraft!|Skellige Guard 01|Don't spread out!|Nie rozdzielać się!|Nie rozchodzić się!|Nie rozprzestrzeniaj się!
1263|Whistling Wendy|Grab 'im!|Whistling Wendy|Calm down, I'm not gonna hurt you. What're you doing here?|Geralt|Think you'll gut me too, eh? Up your arse, deviant! Whores can fight back! Argh!|Myślisz, że i mnie oprawisz? Takiego, zboczeńcu! Dziwki potrafią się bić! O!|Myślisz, że mnie też dorwiesz, co? Wsadź sobie to gówno w dupę, zboczeńcu! Dziwki potrafią się bronić! Aaaargh!|Myślisz, że mnie też oszukasz, co? Wsadź to sobie w dupę, zboczeńcu! Dziwki mogą się bronić! Ugh!
1264|Geralt|||Hmm… why not.|Scoiatael Man 02|Care for a rematch?|Zagramy partię rewanżową?|Chciałbyś rewanżu?|Chcesz rewanżu?
1265|Scoiatael Elf Man 31|I'll kill you for that.|Scoiatael Elf Man 31|Shove off!|Scoiatael Elf Man 31|Hey!|Ej!|Hej!|Cześć!
1266|Verden Boy 02|Brewin' cider with dev'lish glee.|Verden Boy 02|"Then come morn howls, ""Me devil head hurts!"""|Verden Boy 02|Drinks it down in greedy slurps,|Co u-pę-dzi, to wy-pi-je,|Wypija je chciwymi haustami.|Wypija chciwymi haustami.
1267|Nathanel|"Found a message on Patricia's body. Led me here, to Crippled Kate's, to ""Sweet Nettie."" If you didn't leave it, who did?"|Geralt|Who knew you'd be here?|Geralt|I don't know… But I see we must talk. Calmly.|Nie wiem... Ale widzę, że jednak powinniśmy porozmawiać. Na spokojnie.|Nie wiem... Ale widzę, że musimy porozmawiać. Spokojnie.|Nie wiem... Ale widzę, że musimy porozmawiać. Spokojnie.
1268|Skellige Hunter 03|Greetings.|Skellige Hunter 03|Yeah?|Skellige Hunter 03|Sturdy weapon.|Solidna broń.|Wytrzymała broń.|Wytrzymała broń.
1269|Geralt|Welcome to the Passiflora.|Novigrad Prostitute 02|Welcome back to our humble boudoir. How can we help?|Novigrad Prostitute 02|Take care.|Bywaj.|Uważaj.|Dobrze się miej.
1270|Geralt|Ye, uh, heard right. Try your luck if ye like.|Skellige Bandit 02|Fight mercilessly, but do it with honor!|Skellige Bandit 02|I'm ready.|Jestem gotowy do walki.|Jestem gotowy.|Jestem gotowy.
1271|Geralt|That's what I call loyalty to the guild! Thank you, master! We'll knock one back in your honor!|Temerian Peasant 01|||Calm down, don't want any trouble. Here, drink yourselves dumb.|Spokojnie, nie szukam kłopotów. Macie, idźcie się napić.|Uspokójcie się, nie chcę żadnych kłopotów. Pijcie sobie na zdrowie.|Uspokój się, nie chcę żadnych kłopotów. Pijcie się sami głupio.
1272|Geralt|Good luck.|Geralt|You're not going to give it to him, are you?|Triss|Hmm, guessing Radovid would love to get his hands on this…|Hmm, założę się, że Radowid bardzo chciałby dostać ten kryształ...|Chyba Radovid chciałby dostać to w swoje ręce...|Hmm, zgaduję, że Radovid chciałby dostać to w swoje ręce...
1273|Eternal Fire Guard 03|Stop it, my head's spinning from all that yammering…|Eternal Fire Guard 03|Probably not.|Eternal Fire Guard 03|Much longer till we get paid, you reckon?|Myślisz że długo jeszcze na trza będzie czekać na żołd?|Dużo dłużej musimy czekać na wypłatę, sądzisz?|O wiele dłużej, zanim dostaniemy wypłatę, jak sądzisz?
1274|Geralt|||||Now where's she run off to?|No i gdzie ona się podziała?|Gdzie ona się podziała?|Dokąd ona uciekła?
1275|Temerian Peasant 03|Goidemar! Will you raise a glass with me?|Temerian Peasant 01|"But-- What do you mean? I know what they named you at your cutting! What kind o' name is that, anyway - ""Dervan""?"|Temerian Peasant 01|It's Dervan now. D-e-r-v-a-n. Not Goidemar.|Od teraz Derwan. D-e-r-w-a-n. Nie Gościwuj.|To teraz jest Dervan. D-e-r-v-a-n. Nie Goidemar.|To jest Dervan teraz. D-e-r-v-a-n. Nie Goidemar.
1276|Priscilla|Guard! Call the guard! Remove the traitor at once!|Irina Renarde|Hey! Hear the princess' command? Come up here!|Geralt|Guard! Call the guard! Remove the traitor at once!|Straż! Wezwijcie straż! Niech wyprowadzi stąd tego zdrajcę!|Strażniku! Wezwij strażnika! Usuń zdrajcę natychmiast!|Strażniku! Wezwij strażnika! Usuń zdrajcę natychmiast!
1277|Geralt|||||Bad luck.|Chyba mamy pecha.|Pech.|Pech.
1278|Eight|||||To the alcove wherein lies my beautiful wife.|I żona – piękna niczym we śnie.|Do alkowy, w której leży moja piękna żona.|Do alkowy, w której leży moja piękna żona.
1279|Skellige Villager 06|Done looking for a way to be with Irma?|Geralt|I get it. Good luck to you.|Geralt|Not at all. My search is what brought me to Novigrad. Access to culture, you see. But I also need to earn me bread, hence the ship.|Szukam, dlatego przeniosłem się do Novigradu. Rozumiesz, większy dostęp do kultury. No ale trzeba mieć jeszcze za co żyć. Stąd ten statek.|W ogóle nie szukam sposobu, by być z Irmą. Moje poszukiwania przywiodły mnie do Novigradu. Chodzi o dostęp do kultury, rozumiesz. Ale muszę też zarobić na chleb, stąd ten statek.|Wcale nie. To moje poszukiwania przywiodły mnie do Novigradu. Dostęp do kultury, rozumiesz. Ale muszę też zarobić na chleb, stąd statek.
1280|Temerian Peasant 02|Ne'er in me life have I seen a sum approaching that.|Temerian Peasant 02|That settles it, then.|Temerian Peasant 02|If you could drop your price a bit, I'm sure we'd agree.|Zejdźcie jeszcze trochę z ceny, to się dogadamy.|Gdybyś mógł nieco obniżyć cenę, jestem pewien, że doszlibyśmy do porozumienia.|Gdybyś mógł trochę obniżyć cenę, jestem pewien, że doszlibyśmy do porozumienia.
1281|Elf Man 36|Good day.|Elf Man 36|Que suecc's?|Elf Man 36|Welcome, welcome, they say, but spit on the nonhuman the moment I turn away.|"Niby ""witam, witam"", a za plecami plują na nieludzia."|Witajcie, witajcie, mówią, ale plują na nie-ludzi w momencie, gdy odwrócę się plecami.|Witaj, witaj, mówią, ale spluwają na nieludzkie w chwili, gdy się odwrócę.
1282|Geralt|Lots more. Wait and see.|Geralt|Aim at the portals, be precise. I'm out of dimeritium.|Lambert|Good work with these bombs, by the way.|Swoją drogą dobra robota z tymi petardami.|Dobra robota z tymi bombami, swoją drogą.|Dobre prace z tymi bombami, swoją drogą.
