speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype1|dialog_prototype2|default
Geralt|||Hah! Look who we have here!|Baron Bandit Weak 01|I'm ready.|Jestem gotów.|Jestem gotowy.|Jestem gotowy.|Jestem gotowy.
Skellige Warrior 05|Greetings.|Skellige Warrior 05|Foreigner, watch your step.|Skellige Warrior 05|Why're you here?|Czego tu?|Czemu tu jesteś?|Czemu tu jesteś?|Dlaczego tu jesteś?
Novigrad Beggar 02|What in the--|Novigrad Beggar 02|Demon!|Novigrad Beggar 02|Dead - what a tragedy.|Trup, wielkie mi mecyje.|Martwy - co za tragedia.|Martwy - co za tragedia.|Martwy - jaka tragedia.
Redanian Noble 02|It's damp, it's damp…|Redanian Noble 02|If he's back in His Royal Majesty's good graces…|Redanian Noble 02|It's raining, of course it's going to be damp!|Jak pada to musi być mokro!|Oczywiście, że pada; na pewno będzie wilgotno!|Oczywiście, że pada; na pewno będzie wilgotno!|Pada deszcz, oczywiście że będzie mokro!
Zoltan Chivay|Too suspicious. Think about it - Menge disappears, then shows up with a scar on his face to release Dandelion?|Geralt|Priscilla? What're you doing here?|Geralt|Ehh, I suppose you're right.|No, może i racja.|Ehh, chyba masz rację.|Ehh, I suppose you're right.|Ehh, chyba masz rację.
Hjalmar|A great many true warriors perished, but victory was ours. The folk of Undvik can go home.|Hjalmar|I hope we meet again.|Hjalmar|Thanks, Geralt.|Dzięki, Geralt.|Dzięki, Geralt.|Dzięki, Geralt.|Dziękuję, Geralt.
Geralt|||Ah, yes, sure.|Dijkstra|Time for a round of cards?|Masz czas i ochotę na karty?|Czas na partyjkę kart?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Czas na partyjkę kart?
Verden Scavenger 03|Mhm.|Verden Scavenger 03|What're ye starin' at?!|Verden Scavenger 03|Akh akh akh…|Chark!|Ach, ach, ach...|Ach, ach, ach...|Ach ach ach...
Novigrad Rich Woman 03|Eat, eat - you know children are starving in Velen.|Novigrad Old Woman 03|Pfff. Her mother says the girl has a singular sense of humor.|Novigrad Old Woman 03|She wore a turkey mask to the last ball, can you imagine?|Na poprzednim balu miała maskę indyka, wyobrażasz sobie?|No cóż, na ostatnim balu miała na sobie maskę indyka. Możesz sobie wyobrazić?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Ona założyła maskę indyka na ostatni bal, czy możesz sobie wyobrazić?
Geralt|||||Trail ends here. Strange. Even I couldn't jump this wall.|Trop się urywa. Dziwne. Nawet ja nie dałbym rady przeskoczyć tego muru.|Szlak się tu kończy. Dziwne. Nawet ja bym nie przeskoczył takiego muru.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Szlak kończy się tutaj. Dziwne. Nawet ja nie mógłbym przeskoczyć tego muru.
Verden Woman 01|What is this nonsense?|Geralt|You… you knew? Did you know I shut meself in here to wait out me change?|Verden Scavenger 01|I love him, always have. Even after I'd learned his secret.|Kocham go, kochałam od zawsze, nawet wtedy, kiedy odkryłam jego sekret...|Kocham go, zawsze kochałam. Nawet po tym, jak poznałam jego sekret.|Kocham go, zawsze kochałam. Nawet po tym, jak poznałam jego sekret.|Kocham go, zawsze kochałam. Nawet po tym, jak poznałam jego sekret.
Cirilla|I can.|Yennefer|I'll talk to her. You're liable to spill.|Yennefer|Yes. There are always more important things.|Tak. Zawsze są ważniejsze rzeczy.|Tak. Zawsze są ważniejsze sprawy.|Tak. Zawsze są ważniejsze sprawy.|Tak. Zawsze są ważniejsze rzeczy.
Verden Boy 03|"Then come morn howls, ""Me devil head hurts!"""|Verden Boy 02|Uhh… g'day.|Verden Boy 03|Anyone want to go and jump in puddles?|Kto idzie poskakać w kałużach!?|Ktoś chętny skakać po kałużach?|Ktoś chce skakać po kałużach?|Kto chce iść i skakać w kałużach?
Novigrad Noblewoman 15|Accursed hunters… What did those poor elves ever do to them?|Novigrad Noblewoman 14|I feel quite faint today.|Novigrad Noblewoman 15|Is there something you wish to discuss? With me?|Macie do mnie jakąś sprawę?|Czy chcesz ze mną o czymś porozmawiać?|Czy chcesz ze mną o czymś porozmawiać?|Czy jest coś, o czym chciałbyś porozmawiać? Ze mną?
Geralt|||||A voice... from within the tree…|Głos dobiega z wnętrza drzewa...|Geralt - A voice... from within the tree…|Ten lód... To zaklęcie. Musisz zniszczyć kostur czarodzieja, który je rzucił.|Głos... z wnętrza drzewa...
Geralt|Welcome to the Passiflora.|Novigrad Prostitute 02|Welcome back to our humble boudoir. How can we help?|Novigrad Prostitute 02|Take care.|Bywaj.|Uważaj.|Witaj ponownie w naszym skromnym buduarze. W czym możemy pomóc?|Dobrze się miej.
Navigator|I'm looking for men from Undvik.|Geralt|A lovely excursion, if not for the bloody sirens…|Navigator|Javor's from the isle. And I once cut those waters with nary a rest. Could trace you the shoreline in me sleep.|Jawor jest z wyspy. A ja pływałem tam kiedyś bez przerwy, mógłbym ci wyrysować linię brzegową z pamięci.|Javor pochodzi z wyspy. Kiedyś pływałem tam bez chwili wytchnienia. Mógłbym pokazać ci brzeg nawet we śnie.|Javor pochodzi z wyspy. I raz przeciąłem te wody prawie bez odpoczynku. Mógłbym ci pokazać linię brzegową nawet we śnie.|Javor z wyspy. I raz przeciąłem te wody prawie bez odpoczynku. Mógłbym ci nakreślić linię brzegową we śnie.
Eternal Fire Priest 01|Baptism of Fire - do you know what it is, White-haired One?|Eternal Fire Priest 01|Thieving scum! Heeelp!|Eternal Fire Priest 01|You have the blood of many on your conscience. I see it in your eyes.|W twoich oczach widać, że masz na sumieniu krew wielu istot.|Masz krew wielu na sumieniu. Widzę to w twoich oczach.|Masz krew wielu na sumieniu. Widzę to w twoich oczach.|Masz krew wielu na sumieniu. Widzę to w twoich oczach.
Baron|Back to the fortress.|Geralt|As I recall, you were the one wanted to test the old legends, change it into a lubberkin.|Geralt|What? With this?|Jak to? Z nim?|Co? Z tym?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Co? Z tym?
Geralt|I told him - do like I did, lose a finger or two so they won't recruit you. Too damn afeared, he was. Bloody hell…|Temerian Peasant 02|I did. Sea of corpses… and corpsers, feedin'. Someone told me they're afeared of fire, so I took a torch, tried to chase 'em off. Horseshite, I tell you. Would've ended up eaten alive if it weren't for Hussar here.|Temerian Peasant 02|I'd walk the battlefield if I were you.|Na twoim miejscu rozejrzałbym się na pobojowisku.|Gdybym był na Twoim miejscu, poszedłbym na pole bitwy.|I’d walk the battlefield if I were you.|Przeszedłbym pole bitwy, gdybym był tobą.
Geralt|Kill one monster, another crawls out… So is this yours, this a witcher's nightmare?|Lugos The Glaucous|I see the way out! Follow me!|Skellige Guard 05|Nope. This is daily life for us.|Nie. Codzienność.|To nie nasza zmora. Takie jest dla nas codzienne życie.|To nie nasza zmora. Takie jest dla nas codzienne życie.|Nie. To jest nasze codzienne życie.
Hattori|An elven sword expert. You must be Éibhear Hattori.|Geralt|Geralt of Rivia. Heard a lot of good things about you.|Geralt|Ah, indeed. I am.|Ha, no, wydało się. To ja.|Tak, to ja. Éibhear Hattori.|Tak, to ja. Éibhear Hattori.|Ach, rzeczywiście. Jestem.
Redanian Soldier 02|Sir… My grain…|Temerian Peasant 03|In my field? Midst my grain? D'you know its worth?|Temerian Peasant 03|Don't interfere. Military operation underway.|Nie przeszkadzaj, trwają działania wojskowe.|Nie wtrącać się. Trwa operacja wojskowa.|Nie wtrącać się. Trwa operacja wojskowa.|Nie ingerować. Trwa operacja wojskowa.
Novigrad Old Man 01|Weakling! Let him die!|Chorus Novigrad|Boo-oooo!|Chorus Novigrad|Release the hounds!|Spuścić psy!|Wypuśćcie psy!|Wydaje mi się, że łatwo można mnie rozpoznać. Jestem z tego dumna i nigdy nie próbowałam tego ukrywać.|Spuszczaj psy!
Geralt|Mind if we change the subject?|Geralt|Sadly, no.|Triss|Kidding, right?|Żartujesz, prawda?|Żartujesz, prawda?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Żartujesz sobie, prawda?
Cirilla|Speak of the devil.|Geralt|Can never be too careful.|Geralt|Geralt's worried. He believes we let Ge'els go too easily.|Geralt się martwi, że za szybko wypuściliśmy Ge'elsa.|Geralt się martwi. Uważa, że puściliśmy Ge'elsów za łatwo.|Geralt martwi się. Uważa, że puściliśmy Ge'elsów za łatwo.|Geralt się martwi. Uważa, że puściliśmy Ge'elsów zbyt łatwo.
Elf Man 36|Leg it! Save yourselves!|Elf Man 35|Good day.|Elf Man 36|What a downpour.|Zacina z ukosa.|Co za ulewa.|Co za ulewa.|Co za ulewa.
Yennefer|I know your opinion. But I'm not asking anyone's permission. I'm saying what will happen. I'll be back at dawn. With Uma… or whoever hides inside him.|Vesemir|Oo, sounds serious. C'mon, Lambert… See you in a bit Geralt.|Eskel|Do as you will… But in a moment. Geralt and I must talk.|Dobrze... Ale za chwilę. My z Geraltem musimy jeszcze porozmawiać.|Rób co chcesz… Ale za chwilę. Ja i Geralt musimy porozmawiać.|Do as you will… Ale za chwilę. Ja i Geralt musimy porozmawiać.|Rób co chcesz... Ale poczekaj chwilę. Geralt i ja musimy porozmawiać.
Skellige Villager 01|||||Witcher!|Wiedźminie!|Wiedźmin!|Witcher!|Wiedźmin!
Verden Peasant 01|Me grandmother said they came down the mount just afore daybreak.|Verden Old Man 01|At once beauty and horror - like an army in full regalia.|Verden Old Man 01|How did they look?|Jak wyglądały?|Jak wyglądali?|Jak wyglądali?|Jak oni wyglądali?
Geralt|But - I didn't say…|Keira Metz|Perhaps because the Wild Hunt was on the elf's trail, and Ciri would be safer if they did.|Keira Metz|Wonder why they split up.|Ciekawe, czemu się rozdzielili.|Dlatego się rozstali?|Może dlatego, że Dziki Gon był na tropie elfa, a Ciri będzie bezpieczniejsza, jeśli tak zrobią.|Zastanawiam się, dlaczego się rozstali.
Vesemir|Yes. We talked about Uma. Till late.|Eskel|Uh… No… But we'll, uh, get to that, I promise. Right, Lambert?|Eskel|So I guess you didn't get a chance to see to the beams in the tower?|Więc pewnie nie starczyło czasu, żeby zająć się belkami w baszcie?|Tak. Rozmawialiśmy o Umie do późna. Czy zajrzałeś może do belek w wieży?|Tak. Rozmawialiśmy o Umie do późna.|Więc chyba nie miałeś okazji przyjrzeć się belkom w wieży?
Eternal Fire Priest 18|Let us pray.|Eternal Fire Priest 18|Fall upon your knees before the Eternal Fire!|Eternal Fire Priest 18|Our world will burn! Burn in the Eternal Fire!|Nasz świat spłonie! Spłonie w Wiecznym Ogniu!|Nasz świat spłonie! Spłoń w Wiecznym Ogniu!|Nasz świat spłonie! Spłoń w Wiecznym Ogniu!|Nasz świat spłonie! Spłoń w Wiecznym Ogniu!
Witch Hunter 03|||||Flank 'im, get 'im from the back!|Zajdźcie go od tyłu!|Okrążcie go, weźcie od tyłu!|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Oskrzydlij ich, zajdź ich od tyłu!
Geralt|… and this here's Uve Jabberjaw.|Lugos The Glaucous|Only you can know that.|Lugos The Glaucous|Before we head off, will you tell me about this cave? You could at least tell me what we might have to fight.|Zanim wyruszymy, powiedzcie wreszcie coś więcej o tej jaskini. Wolę wiedzieć, z czym będę walczyć.|Zanim ruszymy, czy możesz mi opowiedzieć o tej jaskini? Przynajmniej powiedz, z czym możemy się zmierzyć.|Tylko ty możesz to wiedzieć.|Zanim odejdziemy, powiedz mi coś o tej jaskini. Mógłbyś przynajmniej powiedzieć, z czym możemy się zmierzyć.
Geralt|Word has it her da's now looking to hire her next victim, I mean, instructor.|Zoltan Chivay|Still here? Looking for something?|Geralt|Well, know about all I wanted to know. Thanks for your help.|No, to chyba wiem to, co chciałem wiedzieć. Dzięki za pomoc.|Dowiedziałem się już wszystkiego, co chciałem wiedzieć. Dzięki za pomoc.|Dzięki za pomoc.|Cóż, wiem o wszystkim, czego chciałem się dowiedzieć. Dziękuję za pomoc.
Von Gratz|||||You lead.|Idź przodem.|Prowadź.|Prowadź.|Ty prowadzisz.
Geralt|Ekhem. Fine then. So long as he does not interrupt.|Philippa Eilhart|The Lodge once had great plans for you, important plans. Surely you remember.|Philippa Eilhart|Think of me as part of the decor.|Traktuj mnie jak dekorację.|Myśl o mnie jako o części wystroju.|Myśl o mnie jako części wystroju.|Myśl o mnie jako części dekoracji.
Skellige Old Man 04|Haha. I'm not the superstitious sort, takes more than a pair o' yellow eyes to frighten me.|Skellige Old Man 04|Wouldn't mind a look at your wares, gramps.|Geralt|Witcher, eh? There were some of youse on Faroe, long ago. Me father told me about it. Ah, but you come here to buy somethin', not listen to me tales.|Wiedźmin, hmm... Dawniej ich więcej na Faroe bywało, ojciec mi opowiadał. Ale ty tu kupować przyszedłeś, a nie na pogawędki.|Wiedźmin, co? Byli tacy jak ty na Szetlandach dawno temu. Mój ojciec mi opowiadał. Ale ty pewnie nie po to tu przyszedłeś, żeby słuchać moich historii.|Wiedźmin, co? Byli tacy jak ty na Szetlandach dawno temu. Mój ojciec mi opowiadał. Ale ty pewnie nie po to tu przyszedłeś, żeby słuchać moich historii.|Czarodziej, co? Byli jacyś z waszych dawno temu na Wyspach Owczych. Mój ojciec opowiadał mi o tym. Ach, ale przecież przychodzicie tu po to, by coś kupić, a nie słuchać moich opowieści.
Geralt|That we don't know. Only certain thing is she was there at some point.|Witch Hunter 01|We've been after her since Loc Muinne. Pokin' out her eyes weren't enough. Radovid should've gutted her there and then.|Witch Hunter 01|Certain? How's that?|A skąd ta pewność?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Na pewno? Jak to?
Skellige Warrior 03|Twas as ye said it would be. Ye won. Glory's yours… as is the prize.|Skellige Warrior 03|Huh, didn't win after all… Not so easy, eh? Maybe next time.|Skellige Warrior 03|And if it's not enough for ye, these three victories… there's always the Great Race on Hindarsfjall. But winnin' there's a tall order.|A jeśli po trzech gonitwach jeszcze ci mało zwycięstw... Zostaje Wielki Bieg na Hindarsfjall. Ale tam wygrać będzie ciężko.|A jeśli to dla ciebie za mało, te trzy zwycięstwa... zawsze jest Wielki Wyścig na Hindarsfjall. Ale wygrać tam to nie lada wyzwanie.|A jeśli to dla ciebie za mało, te trzy zwycięstwa... zawsze jest Wielki Wyścig na Hindarsfjall. Ale wygrać tam to nie lada wyzwanie.|A jeśli to za mało dla was, te trzy zwycięstwa... zawsze jest Wielki Wyścig na Hindarsfjall. Ale wygrać tam to nie lada wyzwanie.
Geralt|Well, well… see the crew's been hard at work. Not bad.|Geralt|Sure. See you at the opening.|Dandelion|Time's up. Got a few other matters to tend to.|Czas na mnie. Mam parę spraw do załatwienia.|Czas ucieka. Mam parę innych spraw do załatwienia.|Czas minął. Mam parę innych spraw do załatwienia.|Czas minął. Mam kilka innych spraw do załatwienia.
Geralt|Who says?|Skellige Fisherman 01|Hm. You'll not tell 'im what you saw today, will ya?|Skellige Fisherman 01|Ermion.|Myszowór.|Ermion.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Hermion.
Baron|Hmm… Extra coin never hurt.|Geralt|Fine. Sounds good.|Geralt|Hah! True indeed! I'll round up my men and ride to Downwarren. You can join us there.|Noo, w rzeczy samej. Zbiorę ludzi i jadę do Sztygarów, najlepiej będzie, jak tam do nas dołączysz.|Hah! Prawda! Zbiorę moich ludzi i pojedziemy do Downwarren. Możesz do nas dołączyć tam.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Haha! To prawda! Zbiorę moich ludzi i pojedziemy do Downwarren. Możesz do nas dołączyć tam.
Verden Scavenger 02|Got to hurry, afore the corpse eaters wamble out.|Verden Scavenger 01|Yeah. Looks to me an officer. Mayhap he'll have more on 'im.|Verden Scavenger 02|Naught on this 'un but a few crowns…|Ten miał tylko parę koron...|Nic w tym prócz paru koron...|Nic w tym prócz paru koron...|Nic więcej na tej głowie prócz kilku koron...
Geralt|And they call witchers heartless. Say they won't lift a finger without pay.|Temerian Merchant 01|Back to the trail?|Geralt|They also say mice are born of rotting straw.|Mówią też, że myszy rodzą się ze zgniłej słomy.|Także mówią, że z gnijącego siana rodzą się myszy.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Mówi się również, że myszy rodzą się ze zgniłej słomy.
