speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
Celina|||||Don't frighten me kids.|Nie strasz moich dzieci.|Nie strasz dzieci.|Nie strasz dzieci.
Skellige Bandit 02|Who's my opponent?|Geralt|Wanna fight again.|Geralt|Haha, curiosity's bit ye, eh? His name's Grim - whooo… He's a lumberjack - spends winters brawlin' in taverns. Tried to win the championship this season, but… twaddle, nothin' came of it.|Ha, ha, ciekawski jesteś. Grim jest drwalem – całą zimę spędza na karczemnych bójkach. W tym sezonie próbował sięgnąć po tytuł mistrza, ale – dupa blada, nic z tego nie wyszło.|Haha, ciekawość cię gryzie, co? Jego imię to Grim - ho ho... To drwal - spędza zimy bijąc się w karczmach. Próbował wygrać mistrzostwa w tym sezonie, ale... ple-ple, nic z tego nie wyszło.|Haha, ciekawość cię gryzie, co? Jego imię to Grim - ktooo... To drwal - zimy spędza na bijatykach w karczmach. Próbował wygrać mistrzostwa w tym sezonie, ale... ple-ple, nic z tego nie wyszło.
Yennefer|Lady Yennefer. Sir.|Arnvald|I am honored.|Arnvald|Greetings, Arnvald. My companion is Geralt of Rivia.|Witaj, Arnvaldzie. Moim towarzyszem jest Geralt z Rivii.|Witaj, Arnvaldzie. Mój towarzysz to Geralt z Rivii.|Witaj, Arnvaldzie. Mój towarzysz to Geralt z Rivii.
Verden Peasant 32|Leg it, lads!|Verden Peasant 31|Welcome, to our shithole.|Verden Peasant 32|Well, uhm... yeah.|Ten tego, no, eee…|No cóż, eh... tak.|No cóż, eh... tak.
Skellige Merchant 02|Best wares in the Isles! The very best!|Skellige Merchant 02|Careful!|Skellige Merchant 02|Hail, White One! Have a look here.|Hola, białowłosy! Zajrzyj tutaj.|Cześć, Biały! Spójrz tutaj.|Cześć, Biały! Spójrz tutaj.
Eternal Fire Guard 02|And remember - never venture into the Bits alone. Always take a partner.|Eternal Fire Guard 01|Got a wife?|Eternal Fire Guard 01|Rubbish.|Gadanie.|Bzdura.|Śmieci.
Geralt|Finally. Let's go, Geralt. I've something I wish to show you.|Rosa Var Attre|And I don't like lacy frills and Redanian novels, but you don't hear me complaining. Now follow me!|Rosa Var Attre|You're using me. Don't like it one bit.|Wysługujesz się mną. Nie podoba mi się to.|Wykorzystujesz mnie. W ogóle mi się to nie podoba.|Używasz mnie. Wcale mi się to nie podoba.
Geralt|Of course. Even tried to teach Vesemir, but turned out he's just mule-headed. Why do you ask? Up for a quick hand?|Lambert|So, wanna play?|Geralt|We'll play some other time.|Zagramy kiedy indziej.|Nie teraz. Zagramy innym razem.|Zagramy innym razem.
Skellige Guard 06|Me boots're fuckin' soaked.|Skellige Guard 06|Leave it be, me head's fuckin' poundin'…|Skellige Guard 06|Omen of war's been seen. The Naglfar of Hindarsfjall's shores!|Zwiastun wojny widziano, Naglfar u brzegów Hindarsfjall!|Zauważono znak wojny. Naglfar u brzegów Hindarsfjall!|Zapowiedź wojny została zobaczona. Naglfar u brzegów Hindarsfjall!
Novigrad Peasant Woman 03|Josef's pigs got hoof-and-mouth. Must be a curse!|Novigrad Peasant Woman 03|Lingerin' like flies 'round shit, instead of doin' some honest work.|Novigrad Peasant Woman 03|You deaf?|Głuchyś?|Czy ty głucha jesteś?|Czy głuchy jesteś?
Geralt|Will you teach me to fly?|Skellige Boy 02|Never seen such marvels in me life! Boom! Flash! Tower disappeared, and you was fallin' from the sky. And the storm? Gone in an instant.|Skellige Fisherman 02|Another time, maybe.|Może innym razem.|Innym razem, może.|Inny raz, może.
Dijkstra|Meaning?|Roche|Fuck! Gotta do everything myself!|Dijkstra|Fight, you dimwits!|Walczcie, matoły!|Walczcie, głupcy!|Walczcie, głupcy!
Cerys|No worries. It's no secret.|Udalryk|These voices you hear…|Geralt|All in the Isles know Jarl Udalryk hears the voices of the gods.|Wszyscy na Wyspach wiedzą, że jarl Udalryk słyszy głosy bogów.|Wszyscy na Wyspach wiedzą, że Jarl Udalryk słyszy głosy bogów.|Wszyscy na Wyspach wiedzą, że Jarl Udalryk słyszy głosy bogów.
Novigrad Guard 03|Because she blasphemed the Eternal Fire. Only thing that ties her to the other victims.|Geralt|Spread out! Murderer's still here!|Novigrad Guard 03|There he is! Get 'im!|To on! Brać go!|Tam on jest! Złapcie go!|Oto on! Złap go!
Yennefer|Aaaaaacch!|Skellige Warrior 03|Thhhe ssssseeeeeeaaa… Sssshhhheee fffeeelll…. Alllmmmoost drrrrroooowned…|Skellige Warrior 03|Speak!|Mów!!!|Mów!|Mów!
Verden Woman 05|What you got growin' here?|Verden Peasant 01|No better protection 'gainst a specter.|Verden Woman 05|Garlic. For the vampeer.|Czosnek. Na wąpierza.|Czosnek. Dla wampira.|Czosnek. Dla wampira.
Baron|Never offered to do that.|Geralt|I shan't trust some peasant dolt. I shan't trust whoever it is helped her! I need to know for certain she's safe!|Baron|How do you know she's safe? You see her at least?|Skąd wiesz, że wszystko u niej dobrze? Widziałeś ją chociaż?|Skąd wiesz, że ona jest bezpieczna? Widujesz ją chociaż czasami?|Skąd wiesz, że jest bezpieczna? Widujesz ją przynajmniej?
Scoiatael Elf Man 33|How-oo...!|Scoiatael Elf Man 33|You'll regret that!|Scoiatael Elf Man 33|Stand back, everyone!|Odstąpić, wszyscy!|Uwaga, wszyscy! Cofnąć się!|Odstąp, wszyscy!
Novigrad Peasant 39|You're strange, but a good fellow nonetheless.|Novigrad Peasant 39|Whoa!|Novigrad Peasant 39|At your service.|Uszanowanie.|Na usługi pańskie.|Do Państwa dyspozycji.
Dandelion|Old?|Novigrad Thug Strong 01|I, however, would never let any indecency take place in my cabaret. My very reputation precludes it.|Dandelion|Very. From a time when my establishment was under different management.|Bardzo. Z czasów, gdy właścicielem lokalu był kto inny.|Bardzo. Z czasów, gdy moja placówka była pod innym zarządem.|Bardzo. Z czasu, gdy moje przedsiębiorstwo znajdowało się pod innym zarządem.
Skellige Butcher 01|Could use a wink or two.|Skellige Butcher 01|My regards.|Skellige Butcher 01|Fresh meat!|Świeże mięsko!|Świeże mięso!|Świeże mięso!
Verden Woman 02|Want to chat? No' with me. My head's a-twirlin' with hunger.|Verden Woman 02|Now it's acorn flour and tufts of burdock, and all ye can trade is what little hope's left.|Verden Woman 02|Used to be wagons showed on market days, loaded with all kinds of fat - smoked bacon, lard, red sausage…|Drzewiej w dni targowe to na wozach wały sadła leżały, boczki wędzone, słoniny, kiełbasy czerwone...|Kiedyś na targi przyjeżdżały wozy pełne różnego rodzaju tłustych produktów - wędzonego boczku, smalcu, kiełbas...|Kiedyś na jarmarkach pokazywano wozy załadowane różnymi rodzajami tłuszczu - wędzonym boczkiem, smalcem, kiełbasą...
Skellige Fisherman 01|Cause beyond of that door was somethin' like… a sheet o' water, but standin' upright. Never seen such a thing in me life!|Skellige Fisherman 01|Oh, you return. So - the tower? Anythin' to be done?|Skellige Fisherman 01|Druid said it were magic. Gathered five brave lads and they all marched in. No sign of 'em since.|Druid powiedział, że te drzwi są magiczne, a potem wziął pięciu śmiałków – i weszli. Ale do tej pory nie wrócili.|Druid powiedział, że to magia. Zebrałem pięciu odważnych chłopaków i wszyscy razem tam poszliśmy. Od tamtej pory nie ma po nich śladu.|Druid powiedział, że to magia. Zebrał pięciu odważnych chłopaków i wszyscy weszli do środka. Od tamtej pory ani śladu po nich.
Yennefer|Not appropriate for a sorceress to show emotion?|Geralt|No one's watching.|Geralt|No more than it is for a witcher.|Nie bardziej niż wiedźminom.|Nie bardziej niż dla wiedźmina.|Nie więcej niż dla wiedźmina.
Triss|Really expected me to show up in a lacework collar, ruffles on my trousers?|Geralt|Doubt I wanna know what that is. For now, you'll just have to survive on bread and witcher.|Geralt|You'd even look great wearing a bustle.|Wyglądałbyś świetnie nawet z turniurą.|Nawet by ci pasował gorset.|Nawet w gorsecie wyglądałabyś świetnie.
Geralt|Ooh… a man - nay - a wolf, gray, though not old… 'Tis he the pellar awaits.|Guslar|The bell! The little bell's ringing - she loves it! Ring, ring, and she will follow! Uh, for a while.|Guslar|Fine. I'll get your goat.|Dobra, pójdę po nią.|Dobrze. Zabiorę twoją kozę.|Dobrze. Zdobędę twoją kozę.
Yennefer|What is this?|Geralt|Come. It's a short way away.|Yennefer|Use it once you find Rita. I'll be able to pinpoint your location.|Użyj tego, gdy znajdziesz Ritę. To pozwoli mi cię zlokalizować.|Użyj go, gdy znajdziesz Ritę. Będę mogła dokładnie określić twoją lokalizację.|Użyj go, gdy znajdziesz Ritę. Będę w stanie dokładnie określić twoją lokalizację.
Roche|Risked your lives for me. How can I repay you?|Geralt|Definitely.|Ves|We'll think of something, right?|Coś wymyślimy, prawda?|Pomyślimy o czymś, prawda?|Coś wymyślimy, prawda?
Geralt|Is it you? I cannot believe this. How dare you show yourself here? I shall speak to Ingrid and…|Luiza La Valette|Clearly she's not heard enough about you.|Luiza La Valette|She's the one invited me.|To ona mnie tu zaprosiła.|Ona mnie zaprosiła.|Ona mnie zaprosiła.
Witch Hunter 04|Right! Enough!|Witch Hunter 04|Outta my way.|Geralt|I'll give you the damned crystal.|Oddam ci ten kryształ.|Dam ci przeklęty kryształ.|Dam ci przeklęty kryształ.
Geralt|We shall see!|Redanian Soldier 01|||Had enough?|Wystarczy ci już?|Masz już dosyć?|Masz dość?
Verden Peasant 02|What the hell was that?|Geralt|So all those ears in the woods…|Geralt|Tis our pact. Ye're a stranger, ye don't know life here. It's honest pay for their protection.|Bo taka jest umowa. Wy jesteście obcy, nie wiecie, jak się tu żyje. A to uczciwa zapłata za opiekę.|To nasza umowa. Jesteś obcy, nie znasz życia tutaj. To uczciwa zapłata za ich ochronę.|To jest nasza umowa. Jesteś obcy, nie znasz życia tutaj. To uczciwa zapłata za ich ochronę.
Ambassador Var Attre|Of course. The emperor's servants should keep no secrets from each other. If you will, let us approach the map.|Ambassador Var Attre|And so by spring, instead of two weak enemies we had only one powerful one.|Ambassador Var Attre|This attack took the Kaedweni by surprise. They were still mourning the loss of their king. Rudderless and dejected, they laid down their arms after a few lost skirmishes - and joined Radovid.|Radowid wziął ich z zaskoczenia, a że morale Kaedweńczyków i tak było niskie po śmierci ich króla, starczyło kilka przegranych potyczek, by złożyli broń – i przeszli na stronę Redanii.|Ten atak całkowicie zaskoczył Kaedwenian. Nadal opłakiwali śmierć swojego króla. Bez przywództwa i przygnębieni, odłożyli broń po kilku przegranych potyczkach - i przyłączyli się do Radovida.|Ten atak zaskoczył Kaedwenian. Wciąż opłakiwali stratę swojego króla. Bez przywództwa i przygnębieni, po kilku przegranych potyczkach odłożyli broń - i dołączyli do Radovida.
Geralt|I don't.|Geralt|Exactly.|Baron|Swamps, bogs, marshes everywhere…|Wszędzie bagna, torfowiska, podmokłe lasy...|Bagna, mokradła, torfowiska wszędzie...|Bagna, mokradła, torfowiska wszędzie...
Dudu Biberveldt|No one knows Menge's dead. Don't need to worry about being exposed.|Geralt|We were in the area.|Geralt|No one… save you? Would this have anything to do with the fire at the witch hunters' barracks?|Nikt nie wie... poza wami? Czyżbyś miał coś wspólnego z pożarem w koszarach łowców czarownic?|Nikt... poza tobą? Czy to ma coś wspólnego z pożarem w barakach łowców czarownic?|Nikt... oprócz ciebie? Czy to miało coś wspólnego z pożarem w koszarach łowców czarownic?
Novigrad Thug Strong 01|Grab him!|Novigrad Thug Strong 01|Me. You have my word.|Geralt|Smash the bugger!|Zajebać bydlaka.|Rozwal go!|Rozwal skurczybyka!
Verden Old Woman 01|||Prepare for it, for it too prepares for you.|Verden Old Woman 01|Harm not yourself nor your neighbor afore death.|Nie krzywdź siebie i innych przed śmiercią.|Nie krzywdź samego siebie ani swoich bliźnich przed śmiercią.|Nie czyń sobie ani bliźniemu krzywdy przed śmiercią.
Geralt|Arrows stuck in the side. The kind Faroe folk use.|Geralt|Can you open it?|Yennefer|Got a chest, really old. Must've fell off the wrecked longship.|Jest i skrzynia z łupami, bardzo stara. Musiała się zsunąć z wraku drakkara.|Geralt: Znalazłem skrzynię, naprawdę starą. Musiała spaść ze zniszczonego statku.|Mam klatkę, bardzo starą. Musiała odpaść ze zniszczonego długiego statku.
Grave Hag 01|||There she is - right on cue…|Geralt|Thief, skulls he stole… My skulls! Ought to dig up his own…|Złodziej, zabrał czaszki... Moje czaszki. Niech wykopie własne...|Złodzieju, czaszki, które ukradł... Moje czaszki! Powinien sam je wykopać...|Złodziej, czaszki, które ukradł... Moje czaszki! Powinien wykopać własne...
Geralt|Aye, you got that righteous frown on you. Definitely.|Dwarf Sneezy|Aheheheh! Look at him, all offended! You'd think we showed him a picture of a naked lass.|Dwarf Doc|I don't want your coin.|Nie chcę waszych pieniędzy.|Nie chcę twojej monety.|Nie chcę twojej monety.
Geralt|You win, card's yours.|Olivier Kingfisher|Commander Vernon Roche plays, that I know. And one of your kind, a witcher, stopped in for a round once. Name was… Lambert.|Olivier Kingfisher|Know anyone else who has good cards, you know, the one-offs, hard-to-finds?|Znasz ludzi, którzy mają jakieś unikatowe egzemplarze kart?|Czy znasz kogoś innego, kto ma dobre karty, takie unikatowe, trudne do zdobycia?|Znasz kogoś innego, kto ma dobre karty, takie unikalne, trudne do znalezienia?
Geralt|||||Stay close to me.|Trzymaj się blisko.|Trzymaj się blisko mnie.|Bądź blisko mnie.
Geralt|Other griffin must be a male.|Geralt|Griffins pair off for life when young. Male must be about the same age.|Geralt|Beak tip's worn, gray hairs in the coat - ten, twelve years old.|Krawędzie dzioba starte, siwe włosy w podszerstku... Miała dziesięć, dwanaście lat.|Dzióbki zużyte, szare włosy na futrze - dziesięć, dwanaście lat.|Zużyty dziób, szare włosy w upierzeniu - dziesięć, dwanaście lat.
Novigrad Rich Man 01|Weeeelll… Mama said it would be best to wait until everyone's drunk. Besides, there'll be fireworks later - a jolly good distraction.|Novigrad Rich Man 01|Be waiting for you there.|Geralt|Once they've begun, I shall slip away, saunter into the garden. We will meet in the hedge maze.|Kiedy się zaczną, wymknę się do ogrodu. Spotkajmy się w labiryncie.|Gdy już zaczną, wymknę się i przejdę do ogrodu. Spotkamy się w labiryncie z żywopłotu.|Gdy już zaczną, wymknę się i przejdę do ogrodu. Spotkamy się w labiryncie z żywopłotu.
Geralt|||||Behind the door… Best place to hide. Classic.|Za drzwiami... Najlepsze miejsce, żeby się ukryć. Klasyka.|Za drzwiami... Najlepsze miejsce na kryjówkę. Klasyczne.|Za drzwiami... Najlepsze miejsce do ukrycia się. Klasyk.
Geralt|Perhaps it's a monument to her?|Keira Metz|Most see her as a traitor to her race, who got her just deserts for marrying Cregennan of Lod.|Geralt|Can't see the elves commemorating her this way. Heroine of a tragic legend to some, but…|Nie sądzę, żeby elfy chciały ją upamiętnić w ten sposób. Dla niektórych jest może bohaterką tragicznej legendy...|Nie mogę sobie wyobrazić elfów upamiętniających ją w ten sposób. Bohaterka tragicznej legendy dla niektórych, ale...|Nie mogę zobaczyć elfów upamiętniających ją w ten sposób. Bohaterka tragicznej legendy dla niektórych, ale...
Ermion|Got time to play cards…?|Geralt|Chin up. No shame in losing to me.|Ermion|I don't… ah, dog's arse, let's play.|Nie mam... A, srał to pies – zagrajmy.|Nie mam czasu... cholera, psi ogon, zagrajmy.|Nie... ach, tyłek psa, zagrajmy.
Vesemir|Man spends his whole life learning.|Geralt|But more on that later. Take the griffin's head to the Black Ones, I'll ready our horses.|Vesemir|Not a witcher. Unless he doesn't want to live long.|Ale nie wiedźmin. Bo inaczej żyje bardzo krótko.|Nie czarodziej. Chyba że nie chce długo żyć.|Nie jest czarodziejem. Chyba że nie chce długo żyć.
